,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,DEVICETYPE_acc,MAE_time:timestamp,REPAIR_IN_TIME_5D_acc,org:resource_acc,time:timestamp_mae,layers,lr,batch_size,weight_decay,aggregation,hid
21,21,21_0,COMPLETED,BoTorch,1.0944774319843593,0.7277840971946716,0.974226713180542,0.014910812489688396,0.9957948923110962,0.9829853773117065,0.014783479946909503,4,0.000630551430426622,128,0.012188849009715372,sum,128
20,20,20_0,COMPLETED,BoTorch,1.0961756109469196,0.7251896858215332,0.9689040780067444,0.014860153198242188,0.9943023324012756,0.9843465089797974,0.01473083521767375,4,0.0006053979410294067,128,0.012194396551974622,sum,128
24,24,24_0,COMPLETED,BoTorch,1.1058525853774157,0.7236308455467224,0.9713690876960754,0.014969288371503353,0.9913500547409058,0.9841563701629639,0.01483997475184042,4,0.0006926275228669292,128,0.012166001052364418,sum,128
32,32,32_0,COMPLETED,BoTorch,1.1074743047132491,0.7160765528678894,0.9756337404251099,0.015350786037743092,0.9958166480064392,0.9852072596549988,0.015228222914906667,4,0.0001,128,0.012807101433556877,sum,128
22,22,22_0,COMPLETED,BoTorch,1.109243232294927,0.7248844504356384,0.9653156995773315,0.01508733257651329,0.9958493113517761,0.9845266938209534,0.014961203290049963,4,0.0006676396783909669,128,0.012174810261464976,sum,128
28,28,28_0,COMPLETED,BoTorch,1.1092619113325275,0.7168832421302795,0.9735832214355469,0.01491878367960453,0.9915788173675537,0.9841863512992859,0.014791667406611583,4,0.0008115114149048569,128,0.012066472934356977,sum,128
14,14,14_0,COMPLETED,BoTorch,1.1105591894555737,0.7180060148239136,0.9710636734962463,0.015003889799118042,0.9957512617111206,0.9818543791770935,0.0148773953781767,4,0.0005241017163257376,128,0.012011728854208323,sum,128
26,26,26_0,COMPLETED,BoTorch,1.1175344472241782,0.7209056615829468,0.9703656435012817,0.01502151507884264,0.9921888709068298,0.9847468733787537,0.014891197489086478,4,0.0007643320858765761,128,0.012163322482357478,sum,128
12,12,12_0,COMPLETED,BoTorch,1.118763859259876,0.7228460311889648,0.9737359285354614,0.016818610951304436,0.9911975264549255,0.9834157228469849,0.016684720057366605,4,0.0003482700582703577,128,0.013728806410148496,sum,128
18,18,18_0,COMPLETED,BoTorch,1.1259355393953043,0.7196847796440125,0.9692531228065491,0.015714701265096664,0.9942370057106018,0.9814240336418152,0.01559170417706756,4,0.0006061473037857553,128,0.012192525940992297,sum,128
36,36,36_0,COMPLETED,BoTorch,1.1318927760868467,0.7069198489189148,0.9729833006858826,0.015408906154334545,0.9955007433891296,0.9846767783164978,0.015286467348120827,4,0.0001,128,0.012543225373955509,sum,128
16,16,16_0,COMPLETED,BoTorch,1.133186109649157,0.7178534269332886,0.9728633165359497,0.014998127706348896,0.9947599172592163,0.9874391555786133,0.014870344623823695,4,0.0006387324458570409,128,0.012029972423548602,sum,128
30,30,30_0,COMPLETED,BoTorch,1.1616365083650173,0.7056771516799927,0.9691331386566162,0.015929823741316795,0.9928425550460815,0.9826750755310059,0.015805549104075462,4,0.0001,512,0.013135247666034341,sum,128
11,11,11_0,COMPLETED,BoTorch,1.1635623826772312,0.7174064517021179,0.9720780253410339,0.018563520163297653,0.9929078817367554,0.9791020154953003,0.018430737322843806,4,0.00028679738879686237,128,0.014822526824782453,sum,128
10,10,10_0,COMPLETED,BoTorch,1.1893313936777115,0.7158585786819458,0.963221549987793,0.015395537950098515,0.9945093393325806,0.9830353856086731,0.01526989254049638,4,0.0004234272612607979,128,0.015770334341125222,sum,128
