,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MAE_time:timestamp,time:timestamp_mae,layers,lr,batch_size,weight_decay,aggregation,hid
30,30,19_0,COMPLETED,BoTorch,0.17016341275949445,0.9569793939590454,0.00924606155604124,0.009197231666702364,4,0.0001,32,0.01,sum,128
23,23,19_0,COMPLETED,BoTorch,0.17268083087185881,0.9578947424888611,0.006205725949257612,0.006126125873480406,4,0.0001,32,0.01,sum,128
32,32,19_0,COMPLETED,BoTorch,0.17285041079459781,0.9575896263122559,0.005450423341244459,0.0053826707406659366,4,0.0001,32,0.01,sum,128
36,36,36_0,COMPLETED,BoTorch,0.175767387677398,0.9544367790222168,0.007252490613609552,0.007149944668290792,4,0.0027319827466528047,32,0.01,sum,128
29,29,29_0,COMPLETED,BoTorch,0.17806610551714483,0.95433509349823,0.005793514661490917,0.005703277717758384,4,0.0001230473261771743,32,0.01,sum,128
25,25,25_0,COMPLETED,BoTorch,0.17817530126517844,0.9547927379608154,0.006023345980793238,0.005962759540933702,4,0.0001,512,0.01,sum,128
15,15,15_0,COMPLETED,BoTorch,0.19051787789686825,0.9540808200836182,0.006039843894541264,0.005921002835276778,4,0.0001,64,0.017201196983403506,sum,128
11,11,11_0,COMPLETED,BoTorch,0.19427484385582997,0.9537757039070129,0.006650730036199093,0.006540166158056645,4,0.00026248956601617634,128,0.01705429411096213,sum,128
13,13,13_0,COMPLETED,BoTorch,0.19628520860526436,0.9509280323982239,0.006341741420328617,0.006226161550902934,4,0.0001,32,0.017655294477493415,sum,128
10,10,10_0,COMPLETED,BoTorch,0.19810311809285647,0.9496058821678162,0.006334772799164057,0.00623096397181076,4,0.0001729411749454967,32,0.01759438544472748,sum,128
16,16,16_0,COMPLETED,BoTorch,0.20009603466476417,0.9454360604286194,0.005289009772241116,0.005209606188280439,4,0.0001,256,0.016697659382759637,sum,128
14,14,14_0,COMPLETED,BoTorch,0.2007699360191408,0.9515382647514343,0.005964629352092743,0.005849403475790664,4,0.0001,32,0.017901069727324807,sum,128
12,12,12_0,COMPLETED,BoTorch,0.20557346454976747,0.9447749853134155,0.006067305337637663,0.005953855239096339,4,0.0006125768668633083,32,0.019284681043349135,sum,128
9,9,9_0,COMPLETED,Sobol,0.21019350012540128,0.9473683834075928,0.006205183919519186,0.006081444310472795,4,0.002248672749330768,64,0.020688945020275244,sum,128
17,17,17_0,COMPLETED,BoTorch,0.22128344876519232,0.9458428621292114,0.006245709955692291,0.00613510909628261,4,0.0001,128,0.022548903541697394,sum,128
5,5,5_0,COMPLETED,Sobol,0.2581080823050191,0.9323671460151672,0.006073933560401201,0.005948243015963171,4,0.0008914404220466969,64,0.03452938543005234,sum,128
6,6,6_0,COMPLETED,Sobol,0.26669621986285263,0.9328756332397461,0.006420383229851723,0.006294645037053636,4,0.007858287818250697,128,0.011746187649060522,max,128
21,21,21_0,COMPLETED,BoTorch,0.29238303975391855,0.9161962866783142,0.004761633928865194,0.004680585844821676,2,0.0001,32,0.01,sum,128
1,1,1_0,COMPLETED,Sobol,0.31731436289070797,0.9158403277397156,0.006556272506713867,0.006435543001215491,4,0.00029556780288134837,512,0.01620975110911805,max,128
22,22,22_0,COMPLETED,BoTorch,0.3842246504716092,0.8894482254981995,0.004743905272334814,0.004671433168739357,2,0.0001,32,0.01,max,128
4,4,4_0,COMPLETED,Sobol,0.4868724167312461,0.8695651888847351,0.008321051485836506,0.008230366416413474,2,0.06148169810227145,512,0.01809463317306379,max,128
2,2,2_0,COMPLETED,Sobol,0.6471421199298844,0.8406305313110352,0.006642937194555998,0.006541470082959643,4,0.034467925599219865,32,0.04764342585781035,max,128
7,7,7_0,COMPLETED,Sobol,0.77785445021086,0.797813355922699,0.007388549856841564,0.007298500337465493,2,0.0002206905808383614,32,0.07092181520253302,sum,128
0,0,0_0,COMPLETED,Sobol,1.0094704842453615,0.7499110102653503,0.00781980250030756,0.007747022564419442,2,0.005537727881833665,128,0.09787123410578823,sum,128
3,3,3_0,COMPLETED,Sobol,1.452125360615793,0.4828375279903412,0.0068190935999155045,0.006718694107365553,2,0.0015026229482668638,256,0.0249671076946802,mean,128
8,8,8_0,COMPLETED,Sobol,2.016380923757054,0.18871089816093445,0.0078705083578825,0.00779412630772977,2,0.02717510078728349,128,0.0395913018888495,mean,128
34,34,34_0,COMPLETED,BoTorch,2.0870639569626226,0.18871089816093445,0.009413735009729862,0.009324539409674428,4,0.1,32,0.01,sum,128
