,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MAE_time:timestamp,concept:name_acc,impact_acc,lifecycle:transition_acc,org:group_acc,org:resource_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,layers,lr,batch_size,weight_decay,aggregation,hid
9,9,9_0,COMPLETED,Sobol,21.275574690351885,0.6750629544258118,0.05410575121641159,0.747202455997467,0.9712411761283875,0.684424102306366,0.8954615592956543,0.10217045992612839,0.7233748435974121,0.921319842338562,0.21772539615631104,0.22487309575080872,0.7895267009735107,0.05421274652083715,4,0.0007123006581692218,32,0.016368037085418573,sum,128
49,49,49_0,COMPLETED,BoTorch,24.141167281816404,0.6866498589515686,0.05039451643824577,0.7990844249725342,0.9747729301452637,0.7174023389816284,0.9000510573387146,0.0698782429099083,0.6749654412269592,0.938578724861145,0.15215162932872772,0.24365483224391937,0.8217522501945496,0.050630416721105576,4,0.0001,512,0.01,sum,128
5,5,5_0,COMPLETED,Sobol,25.313848924202222,0.6528967022895813,0.012814715504646301,0.7517802715301514,0.9419777989387512,0.6438356041908264,0.8592554926872253,0.049232397228479385,0.3503918945789337,0.8720812201499939,0.08555327355861664,0.07360406219959259,0.599194347858429,0.013516271176437536,4,0.00035047997672635827,64,0.039436578351773444,max,128
1,1,1_0,COMPLETED,Sobol,25.430397985503078,0.6418136358261108,0.013453587889671326,0.7324516773223877,0.9702320694923401,0.6539827585220337,0.8776134848594666,0.05029115825891495,0.4988473951816559,0.9121827483177185,0.08094261586666107,0.09187817573547363,0.7280966639518738,0.013913423443833986,4,0.00029413132884013236,512,0.020455714056727532,max,128
8,8,8_0,COMPLETED,Sobol,25.614819946233183,0.5959697961807251,0.012483793310821056,0.681078314781189,0.9429868459701538,0.6194824576377869,0.8791433572769165,0.0010587612632662058,0.3937298357486725,0.8380711078643799,0.022028686478734016,0.0,0.7432023882865906,0.012821227156867584,2,0.003285171097957902,64,0.03300587986238524,max,128
2,2,2_0,COMPLETED,Sobol,25.78909714364757,0.5566750764846802,0.020772675052285194,0.6378433704376221,0.8743693232536316,0.5580922961235046,0.8465068936347961,0.05029115825891495,0.34485939145088196,0.8081218600273132,0.0799180269241333,0.04060913622379303,0.6032225489616394,0.021578648127615452,4,0.0048542703684471035,32,0.045971850882169055,max,128
6,6,6_0,COMPLETED,Sobol,26.190532483005274,0.6287153959274292,0.017146741971373558,0.7355035543441772,0.9697275161743164,0.6311516761779785,0.8720040917396545,0.049232397228479385,0.33702167868614197,0.8238579034805298,0.0799180269241333,0.09238579124212265,0.5725075602531433,0.016963944925616186,4,0.0021138872518101184,512,0.031203678344553825,max,128
7,7,7_0,COMPLETED,Sobol,26.85301345679909,0.701259434223175,0.017109869047999382,0.7721261382102966,0.912714421749115,0.7021816372871399,0.8607853651046753,0.0,0.21254034340381622,0.7913705706596375,0.0020491802133619785,0.0,0.7109768390655518,0.017453013298412163,2,0.00011271059564696324,32,0.06295743798248213,sum,128
0,0,0_0,COMPLETED,Sobol,27.382583398061495,0.6282116174697876,0.0233541801571846,0.7110885381698608,0.8113017082214355,0.6555048227310181,0.8225395679473877,0.0,0.21300138533115387,0.7954314947128296,0.0005122950533404946,0.0,0.6253776550292969,0.023792429206271965,2,0.0014528509914685322,64,0.09787123410578823,sum,128
45,45,45_0,COMPLETED,BoTorch,30.995608399311703,0.444836288690567,0.03639381006360054,0.5915564894676208,0.719475269317627,0.4510400593280792,0.6955634951591492,0.0,0.20285846292972565,0.4441624581813812,0.0,0.0,0.599194347858429,0.037017365296681724,4,0.0001,32,0.1,max,128
