,trial_index,arm_name,trial_status,generation_method,(case) AMOUNT_REQ_mae,AVG_total_loss,Activity_acc,MAE_(case) AMOUNT_REQ,MAE_time:timestamp,concept:name_acc,lifecycle:transition_acc,org:resource_acc,time:timestamp_mae,layers,lr,batch_size,weight_decay,aggregation,hid
55,55,12_0,COMPLETED,BoTorch,0.045793753641756994,2.507152488066372,0.8890463709831238,0.04486634209752083,0.012934745289385319,0.8927483558654785,0.9573476314544678,0.7161774635314941,0.01285449387415231,4,0.0001,128,0.01,sum,128
44,44,12_0,COMPLETED,BoTorch,0.0499971782047193,2.5074125259969997,0.8833927512168884,0.04916791990399361,0.015109460800886154,0.8922039270401001,0.9565292596817017,0.7177233695983887,0.015040481408822883,4,0.0001,128,0.01,sum,128
75,75,12_0,COMPLETED,BoTorch,0.05862211898981946,2.511583696246075,0.8903849720954895,0.05751766636967659,0.012773455120623112,0.8929061889648438,0.9577018022537231,0.715948760509491,0.012688603026123301,4,0.0001,128,0.01,sum,128
94,94,12_0,COMPLETED,BoTorch,0.07841845952625413,2.5118443957050736,0.8944085836410522,0.07771041989326477,0.019957376644015312,0.8949183225631714,0.9576230645179749,0.723599374294281,0.0198840921545781,4,0.0001,128,0.01,sum,128
36,36,12_0,COMPLETED,BoTorch,0.04915140240082463,2.512987700281936,0.88475501537323,0.048189595341682434,0.019983068108558655,0.8848812580108643,0.9541290402412415,0.7259813547134399,0.02000675109911312,4,0.0001,128,0.01,sum,128
43,43,12_0,COMPLETED,BoTorch,0.04995023202404235,2.517151450647891,0.8823061585426331,0.04898698627948761,0.014773077331483364,0.8875483274459839,0.9519256353378296,0.7149391770362854,0.014691865342913323,4,0.0001,128,0.01,sum,128
11,11,11_0,COMPLETED,BoTorch,0.05616650965462611,2.5191505111808192,0.8903692364692688,0.05529697611927986,0.016467802226543427,0.8931586742401123,0.9575915932655334,0.7004266381263733,0.016375815758065692,4,0.00019706674363609107,128,0.01,sum,128
13,13,12_0,COMPLETED,BoTorch,0.04624361139767378,2.5233774582123005,0.8917471766471863,0.04508243128657341,0.020023899152874947,0.8906257748603821,0.9567574262619019,0.7162405848503113,0.019994071766155436,4,0.0001,128,0.01,sum,128
30,30,30_0,COMPLETED,BoTorch,0.04822184933910092,2.5240172981781868,0.8911644816398621,0.047114741057157516,0.017131363973021507,0.892140805721283,0.9536490440368652,0.7181966304779053,0.01708714273369428,4,0.0001,128,0.01059538924113408,sum,128
60,60,12_0,COMPLETED,BoTorch,0.06384699061078933,2.5260746645316194,0.8925975561141968,0.06312969326972961,0.012432516552507877,0.8915963172912598,0.9576388001441956,0.7142608761787415,0.012361957058672187,4,0.0001,128,0.01,sum,128
16,16,16_0,COMPLETED,BoTorch,0.051839387858087574,2.528515800065135,0.8882747292518616,0.05091521143913269,0.011749012395739555,0.8922275900840759,0.958150327205658,0.7084558606147766,0.011668181019717628,4,0.0003426227432567526,128,0.01,sum,128
20,20,12_0,COMPLETED,BoTorch,0.042569100314263,2.5390944333873615,0.8834636211395264,0.04159499704837799,0.023243114352226257,0.8887240886688232,0.9584650993347168,0.7144501805305481,0.023083883780732894,4,0.0001,128,0.01,sum,128
31,31,31_0,COMPLETED,BoTorch,0.04345389215040554,2.5405335457254092,0.8887786269187927,0.04253499209880829,0.011525148525834084,0.8923065066337585,0.9561908841133118,0.7001742720603943,0.011465326204751302,4,0.0001,128,0.01068128502764598,sum,128
40,40,12_0,COMPLETED,BoTorch,0.07301300084127964,2.5426405174748123,0.8893140554428101,0.0722622498869896,0.016754575073719025,0.8925431966781616,0.9582526683807373,0.7163746953010559,0.016707966646667825,4,0.0001,128,0.01,sum,128
69,69,12_0,COMPLETED,BoTorch,0.06119058986456649,2.5429912016012715,0.887440025806427,0.060379233211278915,0.01619831658899784,0.8894500136375427,0.9551048874855042,0.7197346091270447,0.016027234277678926,4,0.0001,128,0.01,sum,128
83,83,12_0,COMPLETED,BoTorch,0.06013796337455222,2.5442109458256983,0.8897078037261963,0.05946841463446617,0.013686012476682663,0.8862384557723999,0.9567416906356812,0.7136693596839905,0.013609711135041367,4,0.0001,128,0.01,sum,128
