,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MAE_time:timestamp,time:timestamp_mae,lr,batch_size,weight_decay,hid,layers,aggregation
11,11,11_0,COMPLETED,BoTorch,1.086549248546362,0.6012539267539978,0.033087119460105896,0.03384176716208458,0.00011265859719954674,16,0.013991667834953096,128,2,max
37,37,37_0,COMPLETED,BoTorch,1.0901241615414619,0.6037617921829224,0.03603668883442879,0.036807282269001006,0.001740477920166794,16,0.018419308815500385,128,2,max
38,38,38_0,COMPLETED,BoTorch,1.0917995382100343,0.6012539267539978,0.02648979425430298,0.026737694814801215,0.00018375040124461286,64,0.010938107097445438,128,2,max
12,12,12_0,COMPLETED,BoTorch,1.093315563350916,0.5887147188186646,0.037307411432266235,0.03759331479668617,0.0004824790934109795,16,0.012770221789050622,128,2,max
36,36,36_0,COMPLETED,BoTorch,1.0983826346695422,0.5974921584129333,0.05035874620079994,0.05057402327656746,0.002002002712576036,16,0.01855427678322443,128,2,max
45,45,45_0,COMPLETED,BoTorch,1.0997319862246513,0.5793103575706482,0.03559796139597893,0.03567529171705246,0.0014893335325507566,16,0.01806678677973177,128,2,max
8,8,8_0,COMPLETED,BoTorch,1.1046949684619904,0.5981191396713257,0.04813169315457344,0.04876207709312439,0.0008093936931287829,16,0.02268129732755217,128,2,max
14,14,14_0,COMPLETED,BoTorch,1.1069634601473808,0.6012539267539978,0.030169053003191948,0.02999231070280075,0.0001689006367836916,128,0.014631799748450108,128,2,max
35,35,35_0,COMPLETED,BoTorch,1.1095457248389722,0.5974921584129333,0.04045809432864189,0.0400175504386425,0.0009930754471516407,128,0.016775858766295317,128,2,max
29,29,29_0,COMPLETED,BoTorch,1.1122223377227782,0.6012539267539978,0.048508238047361374,0.04875935316085815,0.0003896066422064298,128,0.01,128,2,max
55,55,55_0,COMPLETED,BoTorch,1.1153196565806867,0.5974921584129333,0.050895094871520996,0.05013173744082451,0.0012084876548758218,16,0.017363508263944182,128,2,max
44,44,44_0,COMPLETED,BoTorch,1.1266873963177204,0.6012539267539978,0.017919430509209633,0.018457210808992385,0.0001,16,0.038176176733885785,128,2,max
18,18,18_0,COMPLETED,BoTorch,1.1269114956259727,0.5974921584129333,0.058442141860723495,0.05948186963796616,0.0025107602374154687,16,0.026429924211225756,128,2,max
52,52,52_0,COMPLETED,BoTorch,1.138020246475935,0.5974921584129333,0.04372628405690193,0.044407909363508226,0.0017612461572762096,16,0.01784963510636091,128,2,max
25,25,25_0,COMPLETED,BoTorch,1.1382843434810639,0.5949843525886536,0.027009161189198494,0.028102368116378784,0.0003101204969775927,16,0.0450475303502308,128,2,max
0,0,0_0,COMPLETED,Sobol,1.1569201417267323,0.6012539267539978,0.056786298751831055,0.056310123950243,0.0001865322718407359,64,0.025570763316014895,128,2,max
4,4,4_0,COMPLETED,Sobol,1.1813839867711067,0.6012539267539978,0.08426207304000854,0.08423320800065995,0.0010138939569658027,128,0.0339721947881449,128,2,max
21,21,21_0,COMPLETED,BoTorch,1.2018616214394569,0.5931034684181213,0.09732216596603394,0.09800381809473038,0.007782629774446486,128,0.021696709589601286,128,2,max
3,3,3_0,COMPLETED,Sobol,1.205375435203314,0.5786833763122559,0.04321056604385376,0.04375903829932213,0.0020553520010210082,64,0.05724837272239779,128,2,max
10,10,10_0,COMPLETED,BoTorch,1.2058241717517375,0.6012539267539978,0.051403410732746124,0.05229078456759453,0.00021816851211675336,128,0.05813326321203024,128,2,max
7,7,7_0,COMPLETED,BoTorch,1.2819661915302276,0.6012539267539978,0.2691928744316101,0.27009965777397155,0.1,16,0.016976553418593138,128,2,max
2,2,2_0,COMPLETED,Sobol,1.2952283203601838,0.6025078296661377,0.23594582080841064,0.23456602692604064,0.007958031792637701,128,0.010989974805367909,128,2,max
19,19,19_0,COMPLETED,BoTorch,1.5581079721450806,0.4746081531047821,0.1381797343492508,0.13509018421173097,0.1,128,0.1,128,2,max
1,1,1_0,COMPLETED,Sobol,1.6265689969062804,0.4746081531047821,0.18847912549972534,0.18912497758865357,0.020423111474986877,16,0.043671306299421474,128,2,max
39,39,39_0,COMPLETED,BoTorch,1.790431132912636,0.4746081531047821,0.4686810374259949,0.49582373201847074,0.0001,16,0.1,128,2,max
17,17,17_0,COMPLETED,BoTorch,1.9441587507724762,0.4746081531047821,0.5542758107185364,0.5847375690937042,0.001991698279704465,128,0.1,128,2,max
